"Date","Num_Employees","Num_Customers","Pct_On_Sale","TouristEvent","Sales","Month","DayOfWeek","Weekend","Year"
2012-07-01,20,170,10.11,"No",40669,"Jul","domingo",TRUE,2012
2012-07-02,12,152,8.78,"No",35360,"Jul","segunda-feira",FALSE,2012
2012-07-03,10,185,9.09,"No",40741,"Jul","terça-feira",FALSE,2012
2012-07-04,16,182,10.23,"No",33871,"Jul","quarta-feira",FALSE,2012
2012-07-05,19,155,9.95,"No",36880,"Jul","quinta-feira",FALSE,2012
2012-07-06,25,175,12.22,"No",43441,"Jul","sexta-feira",FALSE,2012
2012-07-07,24,261,8.55,"No",47133,"Jul","sábado",TRUE,2012
2012-07-08,19,172,11.24,"No",40165,"Jul","domingo",TRUE,2012
2012-07-09,11,125,9.45,"No",37262,"Jul","segunda-feira",FALSE,2012
2012-07-10,13,125,7.09,"No",37718,"Jul","terça-feira",FALSE,2012
2012-07-11,16,134,11.17,"No",35429,"Jul","quarta-feira",FALSE,2012
2012-07-12,23,145,9.19,"No",36206,"Jul","quinta-feira",FALSE,2012
2012-07-13,19,151,7.76,"No",37865,"Jul","sexta-feira",FALSE,2012
2012-07-14,20,195,9.94,"No",39216,"Jul","sábado",TRUE,2012
2012-07-15,18,148,7.19,"No",37190,"Jul","domingo",TRUE,2012
2012-07-16,14,127,9.76,"No",42122,"Jul","segunda-feira",FALSE,2012
2012-07-17,10,133,7.76,"No",33963,"Jul","terça-feira",FALSE,2012
2012-07-18,12,139,6.46,"No",35233,"Jul","quarta-feira",FALSE,2012
2012-07-19,16,154,9.12,"No",43886,"Jul","quinta-feira",FALSE,2012
2012-07-20,22,154,8.61,"No",42240,"Jul","sexta-feira",FALSE,2012
2012-07-21,29,216,6.93,"No",39429,"Jul","sábado",TRUE,2012
2012-07-22,18,156,6.22,"No",43074,"Jul","domingo",TRUE,2012
2012-07-23,19,129,8.17,"No",43286,"Jul","segunda-feira",FALSE,2012
2012-07-24,20,129,6.92,"No",34304,"Jul","terça-feira",FALSE,2012
2012-07-25,21,144,6.32,"No",44173,"Jul","quarta-feira",FALSE,2012
2012-07-26,17,147,11.09,"No",34838,"Jul","quinta-feira",FALSE,2012
2012-07-27,31,167,8.02,"No",39265,"Jul","sexta-feira",FALSE,2012
2012-07-28,26,211,10.03,"No",50872,"Jul","sábado",TRUE,2012
2012-07-29,15,149,9.97,"No",47784,"Jul","domingo",TRUE,2012
2012-07-30,12,126,6.04,"No",42671,"Jul","segunda-feira",FALSE,2012
2012-07-31,12,120,8.03,"No",30718,"Jul","terça-feira",FALSE,2012
2012-08-01,16,153,8.06,"No",36406,"Ago","quarta-feira",FALSE,2012
2012-08-02,17,155,9.89,"No",36633,"Ago","quinta-feira",FALSE,2012
2012-08-03,21,161,11.75,"No",39509,"Ago","sexta-feira",FALSE,2012
2012-08-04,15,217,8.42,"No",43499,"Ago","sábado",TRUE,2012
2012-08-05,29,170,9.86,"No",42099,"Ago","domingo",TRUE,2012
2012-08-06,13,120,10.99,"No",42310,"Ago","segunda-feira",FALSE,2012
2012-08-07,9,120,8.85,"No",39751,"Ago","terça-feira",FALSE,2012
2012-08-08,14,143,10.25,"No",34594,"Ago","quarta-feira",FALSE,2012
2012-08-09,20,132,8.84,"No",38389,"Ago","quinta-feira",FALSE,2012
2012-08-10,26,175,13.99,"No",45335,"Ago","sexta-feira",FALSE,2012
2012-08-11,17,201,11.72,"No",49045,"Ago","sábado",TRUE,2012
2012-08-12,21,172,8.52,"No",41026,"Ago","domingo",TRUE,2012
2012-08-13,11,125,10.4,"No",44224,"Ago","segunda-feira",FALSE,2012
2012-08-14,15,119,8.58,"No",34561,"Ago","terça-feira",FALSE,2012
2012-08-15,18,125,9.12,"No",35221,"Ago","quarta-feira",FALSE,2012
2012-08-16,32,174,8.38,"No",54077,"Ago","quinta-feira",FALSE,2012
