"Run","Store","Date","Weekday","Predicted_Customers","Actual_Customers"
1,"Baltimore",2014-01-26,"domingo",155,115
1,"Baltimore",2014-01-27,"segunda-feira",92,56
1,"Baltimore",2014-01-28,"terça-feira",83,63
1,"Baltimore",2014-01-29,"quarta-feira",75,63
1,"Baltimore",2014-01-30,"quinta-feira",76,61
1,"Baltimore",2014-01-31,"sexta-feira",88,69
1,"Baltimore",2014-02-01,"sábado",134,124
2,"Baltimore",2014-02-02,"domingo",115,69
2,"Baltimore",2014-02-03,"segunda-feira",73,56
2,"Baltimore",2014-02-04,"terça-feira",69,39
2,"Baltimore",2014-02-05,"quarta-feira",67,46
2,"Baltimore",2014-02-06,"quinta-feira",70,50
2,"Baltimore",2014-02-07,"sexta-feira",84,80
2,"Baltimore",2014-02-08,"sábado",152,149
3,"Baltimore",2014-02-09,"domingo",108,106
3,"Baltimore",2014-02-10,"segunda-feira",84,54
3,"Baltimore",2014-02-11,"terça-feira",73,69
3,"Baltimore",2014-02-12,"quarta-feira",71,73
3,"Baltimore",2014-02-13,"quinta-feira",73,97
3,"Baltimore",2014-02-14,"sexta-feira",78,129
3,"Baltimore",2014-02-15,"sábado",586,480
4,"Baltimore",2014-02-16,"domingo",480,424
4,"Baltimore",2014-02-17,"segunda-feira",381,327
4,"Baltimore",2014-02-18,"terça-feira",84,49
4,"Baltimore",2014-02-19,"quarta-feira",74,65
4,"Baltimore",2014-02-20,"quinta-feira",76,52
4,"Baltimore",2014-02-21,"sexta-feira",91,69
4,"Baltimore",2014-02-22,"sábado",136,125
5,"Baltimore",2014-02-23,"domingo",123,84
5,"Baltimore",2014-02-24,"segunda-feira",75,45
5,"Baltimore",2014-02-25,"terça-feira",70,49
5,"Baltimore",2014-02-26,"quarta-feira",69,52
5,"Baltimore",2014-02-27,"quinta-feira",75,47
5,"Baltimore",2014-02-28,"sexta-feira",86,62
5,"Baltimore",2014-03-01,"sábado",128,107
6,"Baltimore",2014-03-02,"domingo",101,86
6,"Baltimore",2014-03-03,"segunda-feira",60,51
6,"Baltimore",2014-03-04,"terça-feira",61,49
6,"Baltimore",2014-03-05,"quarta-feira",63,53
6,"Baltimore",2014-03-06,"quinta-feira",66,58
6,"Baltimore",2014-03-07,"sexta-feira",73,68
6,"Baltimore",2014-03-08,"sábado",108,121
7,"Baltimore",2014-03-09,"domingo",109,87
7,"Baltimore",2014-03-10,"segunda-feira",78,55
7,"Baltimore",2014-03-11,"terça-feira",67,49
7,"Baltimore",2014-03-12,"quarta-feira",65,55
7,"Baltimore",2014-03-13,"quinta-feira",64,59
7,"Baltimore",2014-03-14,"sexta-feira",68,100
7,"Baltimore",2014-03-15,"sábado",103,149
8,"Baltimore",2014-03-16,"domingo",88,110
8,"Baltimore",2014-03-17,"segunda-feira",62,66
8,"Baltimore",2014-03-18,"terça-feira",61,57
8,"Baltimore",2014-03-19,"quarta-feira",63,72
8,"Baltimore",2014-03-20,"quinta-feira",66,68
8,"Baltimore",2014-03-21,"sexta-feira",77,93
8,"Baltimore",2014-03-22,"sábado",120,146
9,"Baltimore",2014-03-23,"domingo",107,106
9,"Baltimore",2014-03-24,"segunda-feira",65,59
9,"Baltimore",2014-03-25,"terça-feira",61,72
9,"Baltimore",2014-03-26,"quarta-feira",66,74
9,"Baltimore",2014-03-27,"quinta-feira",69,84
9,"Baltimore",2014-03-28,"sexta-feira",91,107
9,"Baltimore",2014-03-29,"sábado",132,154
10,"Baltimore",2014-03-30,"domingo",135,107
10,"Baltimore",2014-03-31,"segunda-feira",68,78
10,"Baltimore",2014-04-01,"terça-feira",65,61
10,"Baltimore",2014-04-02,"quarta-feira",67,71
10,"Baltimore",2014-04-03,"quinta-feira",71,67
10,"Baltimore",2014-04-04,"sexta-feira",91,86
10,"Baltimore",2014-04-05,"sábado",127,147
11,"Baltimore",2014-04-06,"domingo",111,117
11,"Baltimore",2014-04-07,"segunda-feira",68,61
11,"Baltimore",2014-04-08,"terça-feira",66,67
11,"Baltimore",2014-04-09,"quarta-feira",68,67
11,"Baltimore",2014-04-10,"quinta-feira",75,69
11,"Baltimore",2014-04-11,"sexta-feira",97,100
11,"Baltimore",2014-04-12,"sábado",138,155
12,"Baltimore",2014-04-13,"domingo",113,111
12,"Baltimore",2014-04-14,"segunda-feira",65,73
12,"Baltimore",2014-04-15,"terça-feira",66,88
12,"Baltimore",2014-04-16,"quarta-feira",68,82
12,"Baltimore",2014-04-17,"quinta-feira",74,100
12,"Baltimore",2014-04-18,"sexta-feira",103,152
12,"Baltimore",2014-04-19,"sábado",156,179
13,"Baltimore",2014-04-20,"domingo",71,0
13,"Baltimore",2014-04-21,"segunda-feira",71,77
13,"Baltimore",2014-04-22,"terça-feira",71,77
13,"Baltimore",2014-04-23,"quarta-feira",74,73
13,"Baltimore",2014-04-24,"quinta-feira",84,96
13,"Baltimore",2014-04-25,"sexta-feira",105,104
13,"Baltimore",2014-04-26,"sábado",159,160
14,"Baltimore",2014-04-27,"domingo",120,104
14,"Baltimore",2014-04-28,"segunda-feira",73,64
14,"Baltimore",2014-04-29,"terça-feira",77,50
14,"Baltimore",2014-04-30,"quarta-feira",78,68
14,"Baltimore",2014-05-01,"quinta-feira",90,68
14,"Baltimore",2014-05-02,"sexta-feira",104,95
14,"Baltimore",2014-05-03,"sábado",144,139
15,"Baltimore",2014-05-04,"domingo",102,99
15,"Baltimore",2014-05-05,"segunda-feira",69,53
15,"Baltimore",2014-05-06,"terça-feira",63,52
15,"Baltimore",2014-05-07,"quarta-feira",63,56
15,"Baltimore",2014-05-08,"quinta-feira",77,70
15,"Baltimore",2014-05-09,"sexta-feira",101,93
15,"Baltimore",2014-05-10,"sábado",152,142
16,"Baltimore",2014-05-11,"domingo",99,117
16,"Baltimore",2014-05-12,"segunda-feira",80,59
16,"Baltimore",2014-05-13,"terça-feira",66,62
16,"Baltimore",2014-05-14,"quarta-feira",68,64
16,"Baltimore",2014-05-15,"quinta-feira",73,82
16,"Baltimore",2014-05-16,"sexta-feira",95,96
16,"Baltimore",2014-05-17,"sábado",137,138
17,"Baltimore",2014-05-18,"domingo",109,109
17,"Baltimore",2014-05-19,"segunda-feira",61,72
17,"Baltimore",2014-05-20,"terça-feira",62,71
17,"Baltimore",2014-05-21,"quarta-feira",64,80
17,"Baltimore",2014-05-22,"quinta-feira",74,82
17,"Baltimore",2014-05-23,"sexta-feira",95,106
17,"Baltimore",2014-05-24,"sábado",575,574
18,"Baltimore",2014-05-25,"domingo",497,467
18,"Baltimore",2014-05-26,"segunda-feira",437,441
18,"Baltimore",2014-05-27,"terça-feira",86,57
18,"Baltimore",2014-05-28,"quarta-feira",70,75
18,"Baltimore",2014-05-29,"quinta-feira",76,63
18,"Baltimore",2014-05-30,"sexta-feira",97,80
18,"Baltimore",2014-05-31,"sábado",136,128
19,"Baltimore",2014-06-01,"domingo",150,95
19,"Baltimore",2014-06-02,"segunda-feira",86,61
19,"Baltimore",2014-06-03,"terça-feira",69,73
19,"Baltimore",2014-06-04,"quarta-feira",72,71
19,"Baltimore",2014-06-05,"quinta-feira",76,69
19,"Baltimore",2014-06-06,"sexta-feira",100,77
19,"Baltimore",2014-06-07,"sábado",147,118
20,"Baltimore",2014-06-08,"domingo",112,97
20,"Baltimore",2014-06-09,"segunda-feira",64,61
20,"Baltimore",2014-06-10,"terça-feira",67,65
