"Run","Store","Date","Weekday","Predicted_Customers","Actual_Customers"
1,"Lancaster",2014-01-26,"domingo",183,150
1,"Lancaster",2014-01-27,"segunda-feira",120,74
1,"Lancaster",2014-01-28,"terça-feira",114,82
1,"Lancaster",2014-01-29,"quarta-feira",100,82
1,"Lancaster",2014-01-30,"quinta-feira",103,79
1,"Lancaster",2014-01-31,"sexta-feira",121,90
1,"Lancaster",2014-02-01,"sábado",187,160
2,"Lancaster",2014-02-02,"domingo",158,90
2,"Lancaster",2014-02-03,"segunda-feira",112,73
2,"Lancaster",2014-02-04,"terça-feira",98,51
2,"Lancaster",2014-02-05,"quarta-feira",95,59
2,"Lancaster",2014-02-06,"quinta-feira",96,64
2,"Lancaster",2014-02-07,"sexta-feira",109,103
2,"Lancaster",2014-02-08,"sábado",208,192
3,"Lancaster",2014-02-09,"domingo",144,136
3,"Lancaster",2014-02-10,"segunda-feira",123,69
3,"Lancaster",2014-02-11,"terça-feira",101,89
3,"Lancaster",2014-02-12,"quarta-feira",93,94
3,"Lancaster",2014-02-13,"quinta-feira",96,125
3,"Lancaster",2014-02-14,"sexta-feira",105,166
3,"Lancaster",2014-02-15,"sábado",874,617
4,"Lancaster",2014-02-16,"domingo",666,544
4,"Lancaster",2014-02-17,"segunda-feira",512,419
4,"Lancaster",2014-02-18,"terça-feira",124,64
4,"Lancaster",2014-02-19,"quarta-feira",104,82
4,"Lancaster",2014-02-20,"quinta-feira",105,66
4,"Lancaster",2014-02-21,"sexta-feira",126,88
4,"Lancaster",2014-02-22,"sábado",184,159
5,"Lancaster",2014-02-23,"domingo",150,107
5,"Lancaster",2014-02-24,"segunda-feira",102,58
5,"Lancaster",2014-02-25,"terça-feira",94,63
5,"Lancaster",2014-02-26,"quarta-feira",91,66
5,"Lancaster",2014-02-27,"quinta-feira",98,60
5,"Lancaster",2014-02-28,"sexta-feira",119,79
5,"Lancaster",2014-03-01,"sábado",172,136
6,"Lancaster",2014-03-02,"domingo",140,109
6,"Lancaster",2014-03-03,"segunda-feira",81,65
6,"Lancaster",2014-03-04,"terça-feira",79,63
6,"Lancaster",2014-03-05,"quarta-feira",79,67
6,"Lancaster",2014-03-06,"quinta-feira",88,73
6,"Lancaster",2014-03-07,"sexta-feira",97,86
6,"Lancaster",2014-03-08,"sábado",140,154
7,"Lancaster",2014-03-09,"domingo",151,110
7,"Lancaster",2014-03-10,"segunda-feira",110,70
7,"Lancaster",2014-03-11,"terça-feira",89,62
7,"Lancaster",2014-03-12,"quarta-feira",89,70
7,"Lancaster",2014-03-13,"quinta-feira",88,75
7,"Lancaster",2014-03-14,"sexta-feira",92,126
7,"Lancaster",2014-03-15,"sábado",134,187
8,"Lancaster",2014-03-16,"domingo",118,139
8,"Lancaster",2014-03-17,"segunda-feira",83,83
8,"Lancaster",2014-03-18,"terça-feira",77,72
8,"Lancaster",2014-03-19,"quarta-feira",82,91
8,"Lancaster",2014-03-20,"quinta-feira",87,85
8,"Lancaster",2014-03-21,"sexta-feira",104,117
8,"Lancaster",2014-03-22,"sábado",151,183
9,"Lancaster",2014-03-23,"domingo",137,133
9,"Lancaster",2014-03-24,"segunda-feira",85,74
9,"Lancaster",2014-03-25,"terça-feira",78,90
9,"Lancaster",2014-03-26,"quarta-feira",85,92
9,"Lancaster",2014-03-27,"quinta-feira",92,105
9,"Lancaster",2014-03-28,"sexta-feira",114,134
9,"Lancaster",2014-03-29,"sábado",165,192
10,"Lancaster",2014-03-30,"domingo",150,134
10,"Lancaster",2014-03-31,"segunda-feira",85,97
10,"Lancaster",2014-04-01,"terça-feira",83,76
10,"Lancaster",2014-04-02,"quarta-feira",85,89
10,"Lancaster",2014-04-03,"quinta-feira",88,84
10,"Lancaster",2014-04-04,"sexta-feira",114,107
10,"Lancaster",2014-04-05,"sábado",164,182
11,"Lancaster",2014-04-06,"domingo",148,146
11,"Lancaster",2014-04-07,"segunda-feira",86,76
11,"Lancaster",2014-04-08,"terça-feira",84,83
11,"Lancaster",2014-04-09,"quarta-feira",86,83
11,"Lancaster",2014-04-10,"quinta-feira",93,85
11,"Lancaster",2014-04-11,"sexta-feira",128,124
11,"Lancaster",2014-04-12,"sábado",181,192
12,"Lancaster",2014-04-13,"domingo",149,137
12,"Lancaster",2014-04-14,"segunda-feira",84,90
12,"Lancaster",2014-04-15,"terça-feira",87,108
12,"Lancaster",2014-04-16,"quarta-feira",89,101
12,"Lancaster",2014-04-17,"quinta-feira",92,123
12,"Lancaster",2014-04-18,"sexta-feira",133,187
12,"Lancaster",2014-04-19,"sábado",196,221
13,"Lancaster",2014-04-20,"domingo",112,0
13,"Lancaster",2014-04-21,"segunda-feira",93,95
13,"Lancaster",2014-04-22,"terça-feira",90,95
13,"Lancaster",2014-04-23,"quarta-feira",95,89
13,"Lancaster",2014-04-24,"quinta-feira",107,117
13,"Lancaster",2014-04-25,"sexta-feira",136,127
13,"Lancaster",2014-04-26,"sábado",199,196
14,"Lancaster",2014-04-27,"domingo",149,127
