"Run","Store","Date","Weekday","Predicted_Customers","Actual_Customers"
1,"Philadelphia",2014-01-26,"domingo",323,248
1,"Philadelphia",2014-01-27,"segunda-feira",197,122
1,"Philadelphia",2014-01-28,"terça-feira",165,135
1,"Philadelphia",2014-01-29,"quarta-feira",147,135
1,"Philadelphia",2014-01-30,"quinta-feira",157,131
1,"Philadelphia",2014-01-31,"sexta-feira",190,150
1,"Philadelphia",2014-02-01,"sábado",264,267
2,"Philadelphia",2014-02-02,"domingo",231,150
2,"Philadelphia",2014-02-03,"segunda-feira",136,122
2,"Philadelphia",2014-02-04,"terça-feira",130,85
2,"Philadelphia",2014-02-05,"quarta-feira",129,98
2,"Philadelphia",2014-02-06,"quinta-feira",138,108
2,"Philadelphia",2014-02-07,"sexta-feira",175,173
2,"Philadelphia",2014-02-08,"sábado",317,323
3,"Philadelphia",2014-02-09,"domingo",220,230
3,"Philadelphia",2014-02-10,"segunda-feira",154,117
3,"Philadelphia",2014-02-11,"terça-feira",142,150
3,"Philadelphia",2014-02-12,"quarta-feira",143,160
3,"Philadelphia",2014-02-13,"quinta-feira",145,211
3,"Philadelphia",2014-02-14,"sexta-feira",161,281
3,"Philadelphia",2014-02-15,"sábado",1151,1046
4,"Philadelphia",2014-02-16,"domingo",989,925
4,"Philadelphia",2014-02-17,"segunda-feira",734,713
4,"Philadelphia",2014-02-18,"terça-feira",168,108
4,"Philadelphia",2014-02-19,"quarta-feira",143,141
4,"Philadelphia",2014-02-20,"quinta-feira",157,113
4,"Philadelphia",2014-02-21,"sexta-feira",189,151
4,"Philadelphia",2014-02-22,"sábado",288,272
5,"Philadelphia",2014-02-23,"domingo",292,183
5,"Philadelphia",2014-02-24,"segunda-feira",137,98
5,"Philadelphia",2014-02-25,"terça-feira",139,108
5,"Philadelphia",2014-02-26,"quarta-feira",145,113
5,"Philadelphia",2014-02-27,"quinta-feira",145,104
5,"Philadelphia",2014-02-28,"sexta-feira",168,136
5,"Philadelphia",2014-03-01,"sábado",257,235
6,"Philadelphia",2014-03-02,"domingo",199,188
6,"Philadelphia",2014-03-03,"segunda-feira",121,113
6,"Philadelphia",2014-03-04,"terça-feira",120,108
6,"Philadelphia",2014-03-05,"quarta-feira",126,118
6,"Philadelphia",2014-03-06,"quinta-feira",138,127
6,"Philadelphia",2014-03-07,"sexta-feira",155,151
6,"Philadelphia",2014-03-08,"sábado",235,269
7,"Philadelphia",2014-03-09,"domingo",228,193
7,"Philadelphia",2014-03-10,"segunda-feira",136,123
7,"Philadelphia",2014-03-11,"terça-feira",130,108
7,"Philadelphia",2014-03-12,"quarta-feira",122,123
7,"Philadelphia",2014-03-13,"quinta-feira",126,132
7,"Philadelphia",2014-03-14,"sexta-feira",140,222
7,"Philadelphia",2014-03-15,"sábado",236,330
8,"Philadelphia",2014-03-16,"domingo",196,245
8,"Philadelphia",2014-03-17,"segunda-feira",121,146
8,"Philadelphia",2014-03-18,"terça-feira",118,127
8,"Philadelphia",2014-03-19,"quarta-feira",119,161
8,"Philadelphia",2014-03-20,"quinta-feira",130,152
8,"Philadelphia",2014-03-21,"sexta-feira",161,207
8,"Philadelphia",2014-03-22,"sábado",263,325
9,"Philadelphia",2014-03-23,"domingo",223,236
9,"Philadelphia",2014-03-24,"segunda-feira",138,133
9,"Philadelphia",2014-03-25,"terça-feira",136,161
9,"Philadelphia",2014-03-26,"quarta-feira",136,165
9,"Philadelphia",2014-03-27,"quinta-feira",145,189
9,"Philadelphia",2014-03-28,"sexta-feira",189,241
9,"Philadelphia",2014-03-29,"sábado",284,345
10,"Philadelphia",2014-03-30,"domingo",256,242
10,"Philadelphia",2014-03-31,"segunda-feira",138,175
10,"Philadelphia",2014-04-01,"terça-feira",144,137
10,"Philadelphia",2014-04-02,"quarta-feira",148,161
10,"Philadelphia",2014-04-03,"quinta-feira",160,152
10,"Philadelphia",2014-04-04,"sexta-feira",197,194
10,"Philadelphia",2014-04-05,"sábado",274,332
11,"Philadelphia",2014-04-06,"domingo",222,265
11,"Philadelphia",2014-04-07,"segunda-feira",144,137
11,"Philadelphia",2014-04-08,"terça-feira",146,152
11,"Philadelphia",2014-04-09,"quarta-feira",152,152
11,"Philadelphia",2014-04-10,"quinta-feira",167,156
11,"Philadelphia",2014-04-11,"sexta-feira",210,227
11,"Philadelphia",2014-04-12,"sábado",312,351
12,"Philadelphia",2014-04-13,"domingo",243,252
12,"Philadelphia",2014-04-14,"segunda-feira",145,166
12,"Philadelphia",2014-04-15,"terça-feira",141,199
12,"Philadelphia",2014-04-16,"quarta-feira",150,185
12,"Philadelphia",2014-04-17,"quinta-feira",163,228
12,"Philadelphia",2014-04-18,"sexta-feira",217,346
12,"Philadelphia",2014-04-19,"sábado",319,409
13,"Philadelphia",2014-04-20,"domingo",132,0
13,"Philadelphia",2014-04-21,"segunda-feira",149,176
13,"Philadelphia",2014-04-22,"terça-feira",162,176
13,"Philadelphia",2014-04-23,"quarta-feira",166,166
13,"Philadelphia",2014-04-24,"quinta-feira",189,218
13,"Philadelphia",2014-04-25,"sexta-feira",230,237
13,"Philadelphia",2014-04-26,"sábado",341,366
14,"Philadelphia",2014-04-27,"domingo",252,238
14,"Philadelphia",2014-04-28,"segunda-feira",165,147
14,"Philadelphia",2014-04-29,"terça-feira",170,115
14,"Philadelphia",2014-04-30,"quarta-feira",168,157
14,"Philadelphia",2014-05-01,"quinta-feira",183,157
14,"Philadelphia",2014-05-02,"sexta-feira",232,219
14,"Philadelphia",2014-05-03,"sábado",319,320
15,"Philadelphia",2014-05-04,"domingo",218,228
15,"Philadelphia",2014-05-05,"segunda-feira",150,124
15,"Philadelphia",2014-05-06,"terça-feira",144,119
15,"Philadelphia",2014-05-07,"quarta-feira",150,129
15,"Philadelphia",2014-05-08,"quinta-feira",171,163
15,"Philadelphia",2014-05-09,"sexta-feira",224,215
15,"Philadelphia",2014-05-10,"sábado",313,329
16,"Philadelphia",2014-05-11,"domingo",222,272
16,"Philadelphia",2014-05-12,"segunda-feira",172,138
16,"Philadelphia",2014-05-13,"terça-feira",138,144
16,"Philadelphia",2014-05-14,"quarta-feira",152,148
16,"Philadelphia",2014-05-15,"quinta-feira",167,191
16,"Philadelphia",2014-05-16,"sexta-feira",208,225
16,"Philadelphia",2014-05-17,"sábado",319,321
17,"Philadelphia",2014-05-18,"domingo",236,254
17,"Philadelphia",2014-05-19,"segunda-feira",138,167
17,"Philadelphia",2014-05-20,"terça-feira",137,167
17,"Philadelphia",2014-05-21,"quarta-feira",142,187
17,"Philadelphia",2014-05-22,"quinta-feira",178,191
17,"Philadelphia",2014-05-23,"sexta-feira",216,248
17,"Philadelphia",2014-05-24,"sábado",1201,1344
18,"Philadelphia",2014-05-25,"domingo",1110,1095
18,"Philadelphia",2014-05-26,"segunda-feira",879,1034
18,"Philadelphia",2014-05-27,"terça-feira",172,134
18,"Philadelphia",2014-05-28,"quarta-feira",159,177
18,"Philadelphia",2014-05-29,"quinta-feira",172,148
18,"Philadelphia",2014-05-30,"sexta-feira",222,187
18,"Philadelphia",2014-05-31,"sábado",319,302
19,"Philadelphia",2014-06-01,"domingo",344,225
19,"Philadelphia",2014-06-02,"segunda-feira",195,144
19,"Philadelphia",2014-06-03,"terça-feira",155,172
19,"Philadelphia",2014-06-04,"quarta-feira",162,168
19,"Philadelphia",2014-06-05,"quinta-feira",177,164
19,"Philadelphia",2014-06-06,"sexta-feira",231,182
19,"Philadelphia",2014-06-07,"sábado",347,278
20,"Philadelphia",2014-06-08,"domingo",258,230
20,"Philadelphia",2014-06-09,"segunda-feira",146,144
20,"Philadelphia",2014-06-10,"terça-feira",152,154
20,"Philadelphia",2014-06-11,"quarta-feira",156,168
20,"Philadelphia",2014-06-12,"quinta-feira",164,154
20,"Philadelphia",2014-06-13,"sexta-feira",196,211
20,"Philadelphia",2014-06-14,"sábado",300,298
