"Run","Store","Date","Weekday","Predicted_Customers","Actual_Customers"
1,"Richmond",2014-01-26,"domingo",94,72
1,"Richmond",2014-01-27,"segunda-feira",57,36
1,"Richmond",2014-01-28,"terça-feira",52,40
1,"Richmond",2014-01-29,"quarta-feira",45,40
1,"Richmond",2014-01-30,"quinta-feira",48,38
1,"Richmond",2014-01-31,"sexta-feira",55,44
1,"Richmond",2014-02-01,"sábado",78,78
2,"Richmond",2014-02-02,"domingo",70,44
2,"Richmond",2014-02-03,"segunda-feira",42,36
2,"Richmond",2014-02-04,"terça-feira",41,25
2,"Richmond",2014-02-05,"quarta-feira",40,28
2,"Richmond",2014-02-06,"quinta-feira",42,31
2,"Richmond",2014-02-07,"sexta-feira",52,50
2,"Richmond",2014-02-08,"sábado",93,94
3,"Richmond",2014-02-09,"domingo",64,67
3,"Richmond",2014-02-10,"segunda-feira",49,34
3,"Richmond",2014-02-11,"terça-feira",45,44
3,"Richmond",2014-02-12,"quarta-feira",44,46
3,"Richmond",2014-02-13,"quinta-feira",44,61
3,"Richmond",2014-02-14,"sexta-feira",46,82
3,"Richmond",2014-02-15,"sábado",339,303
4,"Richmond",2014-02-16,"domingo",290,268
4,"Richmond",2014-02-17,"segunda-feira",231,206
4,"Richmond",2014-02-18,"terça-feira",55,31
4,"Richmond",2014-02-19,"quarta-feira",45,41
4,"Richmond",2014-02-20,"quinta-feira",48,33
4,"Richmond",2014-02-21,"sexta-feira",57,44
4,"Richmond",2014-02-22,"sábado",84,79
5,"Richmond",2014-02-23,"domingo",84,53
5,"Richmond",2014-02-24,"segunda-feira",44,28
5,"Richmond",2014-02-25,"terça-feira",42,31
5,"Richmond",2014-02-26,"quarta-feira",42,33
5,"Richmond",2014-02-27,"quinta-feira",46,30
5,"Richmond",2014-02-28,"sexta-feira",51,39
5,"Richmond",2014-03-01,"sábado",77,68
6,"Richmond",2014-03-02,"domingo",62,54
6,"Richmond",2014-03-03,"segunda-feira",38,33
6,"Richmond",2014-03-04,"terça-feira",37,31
6,"Richmond",2014-03-05,"quarta-feira",39,34
6,"Richmond",2014-03-06,"quinta-feira",42,36
6,"Richmond",2014-03-07,"sexta-feira",46,43
6,"Richmond",2014-03-08,"sábado",67,77
7,"Richmond",2014-03-09,"domingo",67,55
7,"Richmond",2014-03-10,"segunda-feira",46,35
7,"Richmond",2014-03-11,"terça-feira",41,31
7,"Richmond",2014-03-12,"quarta-feira",39,35
7,"Richmond",2014-03-13,"quinta-feira",40,38
7,"Richmond",2014-03-14,"sexta-feira",42,63
7,"Richmond",2014-03-15,"sábado",67,94
8,"Richmond",2014-03-16,"domingo",59,70
8,"Richmond",2014-03-17,"segunda-feira",37,42
8,"Richmond",2014-03-18,"terça-feira",37,36
8,"Richmond",2014-03-19,"quarta-feira",38,46
8,"Richmond",2014-03-20,"quinta-feira",41,43
8,"Richmond",2014-03-21,"sexta-feira",46,59
8,"Richmond",2014-03-22,"sábado",77,93
9,"Richmond",2014-03-23,"domingo",66,68
9,"Richmond",2014-03-24,"segunda-feira",42,38
