"Date","Num_Employees","Num_Customers","Pct_On_Sale","TouristEvent","Sales","Month","DayOfWeek","Weekend","Year"
2012-07-01,25,238,10.37,"No",53618,"Jul","domingo",TRUE,2012
2012-07-02,17,213,9,"No",50357,"Jul","segunda-feira",FALSE,2012
2012-07-03,15,258,9.32,"No",39831,"Jul","terça-feira",FALSE,2012
2012-07-04,24,255,10.5,"No",56826,"Jul","quarta-feira",FALSE,2012
2012-07-05,22,216,10.2,"No",55282,"Jul","quinta-feira",FALSE,2012
2012-07-06,33,246,12.53,"No",71907,"Jul","sexta-feira",FALSE,2012
2012-07-07,24,367,8.77,"No",50442,"Jul","sábado",TRUE,2012
2012-07-08,24,242,11.52,"No",52975,"Jul","domingo",TRUE,2012
2012-07-09,18,175,9.69,"No",58618,"Jul","segunda-feira",FALSE,2012
2012-07-10,17,175,7.27,"No",55134,"Jul","terça-feira",FALSE,2012
2012-07-11,23,188,11.45,"No",61280,"Jul","quarta-feira",FALSE,2012
2012-07-12,29,205,9.43,"No",55462,"Jul","quinta-feira",FALSE,2012
2012-07-13,28,213,7.96,"No",58950,"Jul","sexta-feira",FALSE,2012
2012-07-14,26,275,10.2,"No",58198,"Jul","sábado",TRUE,2012
2012-07-15,34,209,7.37,"No",54487,"Jul","domingo",TRUE,2012
2012-07-16,15,180,10.01,"No",53061,"Jul","segunda-feira",FALSE,2012
2012-07-17,15,188,7.96,"No",54143,"Jul","terça-feira",FALSE,2012
2012-07-18,17,197,6.62,"No",61069,"Jul","quarta-feira",FALSE,2012
2012-07-19,24,217,9.35,"No",68382,"Jul","quinta-feira",FALSE,2012
2012-07-20,32,217,8.83,"No",53759,"Jul","sexta-feira",FALSE,2012
2012-07-21,31,305,7.11,"No",61388,"Jul","sábado",TRUE,2012
2012-07-22,33,222,6.38,"No",58726,"Jul","domingo",TRUE,2012
2012-07-23,26,184,8.38,"No",60517,"Jul","segunda-feira",FALSE,2012
2012-07-24,22,184,7.1,"No",53215,"Jul","terça-feira",FALSE,2012
2012-07-25,24,205,6.49,"No",60523,"Jul","quarta-feira",FALSE,2012
2012-07-26,28,209,11.38,"No",55644,"Jul","quinta-feira",FALSE,2012
2012-07-27,41,239,8.23,"No",67097,"Jul","sexta-feira",FALSE,2012
2012-07-28,39,301,10.29,"No",69754,"Jul","sábado",TRUE,2012
2012-07-29,27,214,10.23,"No",71237,"Jul","domingo",TRUE,2012
2012-07-30,16,180,6.19,"No",56619,"Jul","segunda-feira",FALSE,2012
2012-07-31,14,172,8.24,"No",45829,"Jul","terça-feira",FALSE,2012
2012-08-01,22,218,8.26,"No",57814,"Ago","quarta-feira",FALSE,2012
2012-08-02,33,222,10.14,"No",66691,"Ago","quinta-feira",FALSE,2012
2012-08-03,23,231,12.05,"No",59139,"Ago","sexta-feira",FALSE,2012
2012-08-04,25,310,8.63,"No",66645,"Ago","sábado",TRUE,2012
2012-08-05,30,243,10.11,"No",68447,"Ago","domingo",TRUE,2012
2012-08-06,15,172,11.27,"No",54153,"Ago","segunda-feira",FALSE,2012
2012-08-07,18,172,9.07,"No",52186,"Ago","terça-feira",FALSE,2012
2012-08-08,17,206,10.51,"No",59029,"Ago","quarta-feira",FALSE,2012
2012-08-09,27,189,9.07,"No",54063,"Ago","quinta-feira",FALSE,2012
2012-08-10,32,252,14.35,"No",53911,"Ago","sexta-feira",FALSE,2012
2012-08-11,31,289,12.02,"No",71035,"Ago","sábado",TRUE,2012
