"Date","Num_Employees","Num_Customers","Pct_On_Sale","TouristEvent","Sales","Month","DayOfWeek","Weekend","Year"
2012-07-01,12,89,10.56,"No",19532,"Jul","domingo",TRUE,2012
2012-07-02,7,79,9.17,"No",25403,"Jul","segunda-feira",FALSE,2012
2012-07-03,7,97,9.49,"No",17711,"Jul","terça-feira",FALSE,2012
2012-07-04,8,95,10.69,"No",23336,"Jul","quarta-feira",FALSE,2012
2012-07-05,8,81,10.39,"No",22879,"Jul","quinta-feira",FALSE,2012
2012-07-06,13,92,12.76,"No",20918,"Jul","sexta-feira",FALSE,2012
2012-07-07,13,137,8.93,"No",21308,"Jul","sábado",TRUE,2012
2012-07-08,10,90,11.73,"No",22472,"Jul","domingo",TRUE,2012
2012-07-09,7,66,9.87,"No",20388,"Jul","segunda-feira",FALSE,2012
2012-07-10,5,66,7.4,"No",18678,"Jul","terça-feira",FALSE,2012
2012-07-11,8,70,11.66,"No",24364,"Jul","quarta-feira",FALSE,2012
2012-07-12,10,76,9.6,"No",23707,"Jul","quinta-feira",FALSE,2012
2012-07-13,12,79,8.11,"No",21728,"Jul","sexta-feira",FALSE,2012
2012-07-14,10,103,10.38,"No",22557,"Jul","sábado",TRUE,2012
2012-07-15,11,78,7.51,"No",19341,"Jul","domingo",TRUE,2012
2012-07-16,6,67,10.19,"No",22671,"Jul","segunda-feira",FALSE,2012
2012-07-17,5,70,8.11,"No",20870,"Jul","terça-feira",FALSE,2012
2012-07-18,7,73,6.75,"No",22328,"Jul","quarta-feira",FALSE,2012
2012-07-19,9,81,9.52,"No",21355,"Jul","quinta-feira",FALSE,2012
2012-07-20,12,81,8.99,"No",23471,"Jul","sexta-feira",FALSE,2012
2012-07-21,11,114,7.24,"No",23647,"Jul","sábado",TRUE,2012
2012-07-22,11,82,6.5,"No",23127,"Jul","domingo",TRUE,2012
2012-07-23,9,69,8.53,"No",17733,"Jul","segunda-feira",FALSE,2012
2012-07-24,8,69,7.23,"No",21533,"Jul","terça-feira",FALSE,2012
2012-07-25,9,76,6.61,"No",22028,"Jul","quarta-feira",FALSE,2012
2012-07-26,12,78,11.59,"No",14971,"Jul","quinta-feira",FALSE,2012
2012-07-27,13,88,8.38,"No",24626,"Jul","sexta-feira",FALSE,2012
2012-07-28,13,112,10.48,"No",29912,"Jul","sábado",TRUE,2012
2012-07-29,10,79,10.42,"No",21111,"Jul","domingo",TRUE,2012
2012-07-30,6,67,6.31,"No",24762,"Jul","segunda-feira",FALSE,2012
2012-07-31,7,64,8.39,"No",18873,"Jul","terça-feira",FALSE,2012
2012-08-01,9,81,8.41,"No",17580,"Ago","quarta-feira",FALSE,2012
2012-08-02,9,82,10.33,"No",18984,"Ago","quinta-feira",FALSE,2012
2012-08-03,10,85,12.27,"No",22136,"Ago","sexta-feira",FALSE,2012
2012-08-04,9,114,8.79,"No",21602,"Ago","sábado",TRUE,2012
2012-08-05,17,90,10.29,"No",24428,"Ago","domingo",TRUE,2012
2012-08-06,6,63,11.48,"No",20836,"Ago","segunda-feira",FALSE,2012
2012-08-07,7,63,9.24,"No",20904,"Ago","terça-feira",FALSE,2012
2012-08-08,6,76,10.71,"No",17010,"Ago","quarta-feira",FALSE,2012
2012-08-09,9,69,9.23,"No",22053,"Ago","quinta-feira",FALSE,2012
2012-08-10,11,93,14.62,"No",20532,"Ago","sexta-feira",FALSE,2012
2012-08-11,10,107,12.24,"No",20392,"Ago","sábado",TRUE,2012
2012-08-12,13,91,8.9,"No",21727,"Ago","domingo",TRUE,2012
2012-08-13,6,67,10.86,"No",21963,"Ago","segunda-feira",FALSE,2012
2012-08-14,9,63,8.96,"No",21853,"Ago","terça-feira",FALSE,2012
2012-08-15,9,67,9.52,"No",19088,"Ago","quarta-feira",FALSE,2012
2012-08-16,16,93,8.76,"No",29291,"Ago","quinta-feira",FALSE,2012
2012-08-17,9,88,9.8,"No",23106,"Ago","sexta-feira",FALSE,2012
2012-08-18,9,105,7.33,"No",21944,"Ago","sábado",TRUE,2012
2012-08-19,12,80,10.05,"No",25229,"Ago","domingo",TRUE,2012
2012-08-20,11,52,9.29,"No",18984,"Ago","segunda-feira",FALSE,2012
2012-08-21,7,62,11.44,"No",18873,"Ago","terça-feira",FALSE,2012
2012-08-22,8,62,11.72,"No",18011,"Ago","quarta-feira",FALSE,2012
2012-08-23,14,69,8.24,"No",21435,"Ago","quinta-feira",FALSE,2012
2012-08-24,13,94,13.17,"No",21515,"Ago","sexta-feira",FALSE,2012
2012-08-25,14,126,9.93,"No",22516,"Ago","sábado",TRUE,2012
2012-08-26,12,89,15.14,"No",18622,"Ago","domingo",TRUE,2012
2012-08-27,7,60,9.53,"No",22426,"Ago","segunda-feira",FALSE,2012
2012-08-28,6,60,10.92,"No",21801,"Ago","terça-feira",FALSE,2012
2012-08-29,9,51,11.11,"No",18248,"Ago","quarta-feira",FALSE,2012
2012-08-30,13,52,10.34,"No",20676,"Ago","quinta-feira",FALSE,2012
2012-08-31,15,80,9.39,"No",21933,"Ago","sexta-feira",FALSE,2012
2012-09-01,14,126,13.1,"No",23343,"Set","sábado",TRUE,2012
2012-09-02,13,109,11.09,"No",23365,"Set","domingo",TRUE,2012
2012-09-03,5,111,10,"No",22647,"Set","segunda-feira",FALSE,2012
2012-09-04,11,43,8.27,"No",19172,"Set","terça-feira",FALSE,2012
2012-09-05,9,40,8.27,"No",16057,"Set","quarta-feira",FALSE,2012
2012-09-06,15,54,7.03,"No",20877,"Set","quinta-feira",FALSE,2012
2012-09-07,9,61,7.61,"No",22423,"Set","sexta-feira",FALSE,2012
2012-09-08,8,83,6.92,"No",22728,"Set","sábado",TRUE,2012
2012-09-09,16,66,6.65,"No",21703,"Set","domingo",TRUE,2012
2012-09-10,14,150,8.37,"Yes",25937,"Set","segunda-feira",FALSE,2012
2012-09-11,15,172,6,"Yes",41318,"Set","terça-feira",FALSE,2012
2012-09-12,21,167,8.73,"Yes",32062,"Set","quarta-feira",FALSE,2012
2012-09-13,11,57,9.31,"No",18136,"Set","quinta-feira",FALSE,2012
2012-09-14,11,63,8.52,"No",21411,"Set","sexta-feira",FALSE,2012
2012-09-15,12,91,9.64,"No",23280,"Set","sábado",TRUE,2012
2012-09-16,12,66,7.22,"No",23433,"Set","domingo",TRUE,2012
2012-09-17,5,44,5.92,"No",22817,"Set","segunda-feira",FALSE,2012
2012-09-18,6,40,8.49,"No",22020,"Set","terça-feira",FALSE,2012
2012-09-19,8,40,6.17,"No",20609,"Set","quarta-feira",FALSE,2012
2012-09-20,16,55,9.63,"No",21634,"Set","quinta-feira",FALSE,2012
2012-09-21,11,68,9.71,"No",21052,"Set","sexta-feira",FALSE,2012
2012-09-22,14,107,6.87,"No",19864,"Set","sábado",TRUE,2012
2012-09-23,18,78,10.64,"No",18728,"Set","domingo",TRUE,2012
2012-09-24,7,43,9.93,"No",20058,"Set","segunda-feira",FALSE,2012
2012-09-25,10,38,8.36,"No",18209,"Set","terça-feira",FALSE,2012
2012-09-26,11,43,12.02,"No",17724,"Set","quarta-feira",FALSE,2012
2012-09-27,16,48,6.89,"No",21739,"Set","quinta-feira",FALSE,2012
2012-09-28,16,66,10.08,"No",19610,"Set","sexta-feira",FALSE,2012
2012-09-29,16,105,9.3,"No",25882,"Set","sábado",TRUE,2012
2012-09-30,9,66,11.06,"No",24303,"Set","domingo",TRUE,2012
2012-10-01,5,37,9.96,"No",18729,"Out","segunda-feira",FALSE,2012
2012-10-02,9,44,7.19,"No",22639,"Out","terça-feira",FALSE,2012
2012-10-03,7,41,7.29,"No",20121,"Out","quarta-feira",FALSE,2012
2012-10-04,10,55,11.95,"No",20193,"Out","quinta-feira",FALSE,2012
2012-10-05,14,67,9.97,"No",27049,"Out","sexta-feira",FALSE,2012
